Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	ValidationCER
		21108	26500		5.509	
		21178	26600		5.454	
		21242	26700		5.359	
		21321	26800		5.47	
		21384	26900		5.544	
		21457	27000		5.497	
		21527	27100		5.396	
		21590	27200		5.483	
		21664	27300		5.533	
		21735	27400		5.453	
		21804	27500		5.35	
		21871	27600		5.302	
		21939	27700		5.447	
		22012	27800		5.273	
		22073	27900		5.193	
		22138	28000		5.155	
		22207	28100		5.264	
		22277	28200		5.28	
		22348	28300		5.132	
		22421	28400		5.217	
		22492	28500		5.38	
		22567	28600		5.52	
		22634	28700		5.457	
		22700	28800		5.471	
		22766	28900		5.507	
		22837	29000		5.609	
		22906	29100		5.523	
		22970	29200		5.366	
		23037	29300		5.396	
		23098	29400		5.313	
		23163	29500		5.149	
		23242	29600		5.077	
		23311	29700		4.985	
		23376	29800		4.897	
		23440	29900		5.025	
		23504	30000		4.851	
		23577	30100		4.889	
		23635	30200		5.052	
		23711	30300		5.16	
		23777	30400		5.213	
		23855	30500		5.371	
		23921	30600		5.322	
		23988	30700		5.398	
		24058	30800		5.641	
		24125	30900		5.672	
		24185	31000		5.683	
		24239	31100		5.692	
		24309	31200		5.655	
		24367	31300		5.444	
		24434	31400		5.422	
		24499	31500		5.304	
		24567	31600		5.373	
		24641	31700		5.447	
		24717	31800		5.338	
		24789	31900		5.186	
		24857	32000		5.141	
		24924	32100		5.08	
		24993	32200		5.038	
		25064	32300		5.061	
		25124	32400		5.006	
		25178	32500		4.896	
		25243	32600		4.904	
		25307	32700		4.786	
		25376	32800		4.756	
		25450	32900		4.797	
		25521	33000		4.855	
		25580	33100		4.892	
		25642	33200		4.906	
		25719	33300		5.008	
		25784	33400		5.086	
		25855	33500		5.224	
		25927	33600		5.269	
		25996	33700		5.25	
		26059	33800		5.164	
		26133	33900		5.279	
		26193	34000		5.257	
		26265	34100		5.216	
		26329	34200		5.191	
		26396	34300		5.188	
		26459	34400		5.174	
		26518	34500		5.043	
		26581	34600		5.007	
		26662	34700		5.102	
		26730	34800		5.153	
		26806	34900		5.061	
		26872	35000		5.205	
		26938	35100		5.434	
		27011	35200		5.486	
		27067	35300		5.376	
		27129	35400		5.322	
		27185	35500		5.334	
		27251	35600		5.296	
		27319	35700		5.231	
		27392	35800		5.202	
		27465	35900		5.081	
		27539	36000		5.034	
		27602	36100		4.866	
		27664	36200		4.809	
		27716	36300		4.895	
		27778	36400		4.811	
		27846	36500		4.954	
		27916	36600		4.906	
		27974	36700		4.831	
		28037	36800		4.906	
		28094	36900		4.93	
		28159	37000		4.899	
		28219	37100		4.843	
		28289	37200		4.861	
		28353	37300		4.902	
		28420	37400		5.046	
		28473	37500		4.961	
		28542	37600		4.836	
		28601	37700		4.802	
		28666	37800		4.821	
		28730	37900		4.854	
		28792	38000		4.745	
		28844	38100		4.647	
		28906	38200		4.701	
		28972	38300		4.57	
		29034	38400		4.47	
		29090	38500		4.497	
		29150	38600		4.601	
		29213	38700		4.827	
		29279	38800		4.667	
		29346	38900		4.692	
		29411	39000		4.808	
		29483	39100		5.001	
		29542	39200		4.83	
		29611	39300		5.06	
		29669	39400		5.018	
		29730	39500		5.044	
		29795	39600		5.069	
		29854	39700		4.848	
		29917	39800		4.928	
		29976	39900		4.82	
		30041	40000		4.726	
		30104	40100		4.624	
		30173	40200		4.682	
		30227	40300		4.378	
		30293	40400		4.611	
		30362	40500		4.513	
		30423	40600		4.439	
		30483	40700		4.462	
		30550	40800		4.52	
		30620	40900		4.659	
		30689	41000		4.682	
		30757	41100		4.763	
		30823	41200		4.771	
		30886	41300		4.879	
		30951	41400		4.887	
		31015	41500		4.981	
		31075	41600		5.041	
		31135	41700		5.047	
		31193	41800		4.915	
		31252	41900		4.82	
		31316	42000		4.778	
		31377	42100		4.613	
		31447	42200		4.569	
		31522	42300		4.72	
		31587	42400		4.501	
		31651	42500		4.367	
		31716	42600		4.299	
		31778	42700		4.324	
		31845	42800		4.291	
		31908	42900		4.295	
		31961	43000		4.276	
		32021	43100		4.277	
		32079	43200		4.297	
		32145	43300		4.178	
		32217	43400		4.229	
		32285	43500		4.216	
		32351	43600		4.425	
		32400	43700		4.346	
		32461	43800		4.411	
		32526	43900		4.414	
		32592	44000		4.523	
		32659	44100		4.66	
		32718	44200		4.637	
		32779	44300		4.601	
		32848	44400		4.636	
		32901	44500		4.767	
		32963	44600		4.626	
		33020	44700		4.555	
		33086	44800		4.608	
		33152	44900		4.73	
		33201	45000		4.568	
		33258	45100		4.572	
		33320	45200		4.644	
		33386	45300		4.721	
		33458	45400		4.762	
		33522	45500		4.797	
		33575	45600		4.966	
		33642	45700		5.104	
		33701	45800		5.039	
		33756	45900		4.809	
		33830	46000		4.946	
		33890	46100		4.85	
		33959	46200		4.815	
		34020	46300		4.78	
		34086	46400		4.596	
		34146	46500		4.475	
		34208	46600		4.234	
		34266	46700		4.214	
		34322	46800		4.203	
		34374	46900		4.317	
		34434	47000		4.246	
		34501	47100		4.329	
		34559	47200		4.34	
		34618	47300		4.292	
		34680	47400		4.435	
		34744	47500		4.432	
		34806	47600		4.462	
		34867	47700		4.45	
		34930	47800		4.412	
		34995	47900		4.539	
		35056	48000		4.551	
		35125	48100		4.506	
		35177	48200		4.418	
		35233	48300		4.522	
		35287	48400		4.372	
		35351	48500		4.352	
		35404	48600		4.263	
		35465	48700		4.253	
		35525	48800		4.236	
		35590	48900		4.047	
		35645	49000		4.023	
		35696	49100		3.943	
		35758	49200		4.134	
		35822	49300		4.041	
		35884	49400		4.093	
		35948	49500		4.121	
		36013	49600		4.284	
		36068	49700		4.259	
		36127	49800		4.322	
		36182	49900		4.343	
		36237	50000		4.358	
		36299	50100		4.473	
		36359	50200		4.257	
		36419	50300		4.289	
		36480	50400		4.295	
		36540	50500		4.267	
		36583	50600		4.07	
		36645	50700		4.029	
		36703	50800		3.904	
		36762	50900		3.917	
		36823	51000		3.933	
		36879	51100		3.756	
		36933	51200		3.825	
		36993	51300		3.784	
		37060	51400		3.974	
		37120	51500		4.067	
		37187	51600		4.311	
		37246	51700		4.311	
		37313	51800		4.474	
